"","hh_id","plot_id","fertilizer","application_time","application_amount"
"565",467834,707092,"urea",0,20
"566",718396,350678,"urea",0,20
"568",931789,776478,"urea",0,20
"569",979205,959252,"urea",0,15
"570",119497,453768,"urea",0,10
"571",797729,133485,"urea",0,50
"572",522457,560204,"urea",0,40
"573",831260,173182,"urea",0,80
"574",781505,550508,"urea",0,10
"575",407039,828022,"urea",0,25
"576",326072,520416,"urea",0,30
"577",408351,341683,"urea",0,10
"578",882902,769723,"urea",0,40
"579",899385,578957,"urea",0,30
"580",323512,531290,"urea",0,20
"581",709657,385939,"urea",0,50
"582",281060,696585,"urea",0,20
"583",771469,848769,"urea",0,10
"584",102934,352532,"urea",0,20
"585",399037,770829,"urea",0,22
"586",555531,332542,"urea",0,25
"587",719085,131304,"urea",0,50
"588",377666,595816,"urea",0,20
"589",810590,716933,"urea",0,20
"590",601257,205025,"urea",0,20
"591",296270,712979,"urea",0,40
"593",375763,990050,"urea",0,45
"594",802915,962204,"urea",0,15
"595",814663,504399,"urea",0,50
"596",458516,472619,"urea",0,60
"597",109605,857131,"urea",0,40
"598",775591,158215,"urea",0,30
"599",467178,609249,"urea",0,40
"600",190057,190306,"urea",0,20
"601",330904,540643,"urea",0,50
"602",852161,437801,"urea",0,20
"603",110272,763898,"urea",0,20
"604",580015,390203,"urea",0,15
"605",841264,677170,"urea",0,20
"609",582179,125758,"urea",0,20
"616",179153,366141,"urea",0,50
"617",655730,316486,"urea",0,8
"618",432758,841928,"urea",0,15
"619",658714,258821,"urea",0,21
"620",991564,588135,"urea",0,12.5
"621",402822,152179,"urea",0,16
"622",655445,267134,"urea",0,24
"623",860128,680493,"urea",0,15
"624",606653,845449,"urea",0,25
"625",159557,208418,"urea",0,30
"626",304337,303571,"urea",0,15
"627",450144,489707,"urea",0,25
"628",817413,329085,"urea",0,10
"629",545192,459641,"urea",0,35
"630",280945,323803,"urea",0,30
"631",725352,580649,"urea",0,10
"632",665725,625043,"urea",0,15
"633",733603,238526,"urea",0,5
"634",338720,440411,"urea",0,5
"635",550396,898097,"urea",0,5
"636",188380,200642,"urea",0,5
"637",280924,432047,"urea",0,40
"638",776779,938427,"urea",0,60
"639",723379,302654,"urea",0,20
"640",114988,211366,"urea",0,12
"641",103351,928012,"urea",0,20
"642",127406,842383,"urea",0,20
"643",588956,134499,"urea",0,36
"644",913555,843819,"urea",0,30
"645",408882,686401,"urea",0,60
"646",536277,802217,"urea",0,300
"647",434342,836641,"urea",0,15
"648",384098,495326,"urea",0,50
"649",301941,430854,"urea",0,8
"650",863541,855038,"urea",0,12
"651",355288,148762,"urea",0,10
"652",521660,606182,"urea",0,30
"653",176893,983481,"urea",0,50
"654",585629,300500,"urea",0,20
"655",931121,801845,"urea",0,50
"656",253889,888919,"urea",0,50
"657",572975,275523,"urea",0,80
"659",916855,242521,"urea",0,88
"660",624923,340497,"urea",0,28
"661",689416,480559,"urea",0,18
"663",604613,211418,"urea",0,88
"665",188723,223689,"urea",0,20
"666",145552,775582,"urea",0,20
"667",554174,350527,"urea",0,20
"668",566300,295996,"urea",0,20
"669",349840,392236,"urea",0,40
"670",134760,649379,"urea",0,10
"671",593651,316827,"urea",0,16
