"","hh_id","plot_id","variable","value"
"243",296689,691518,"ownership","Owned"
"244",582115,399070,"ownership","Owned"
"245",362878,563825,"ownership","Owned"
"246",479401,793962,"ownership","Owned"
"247",558728,800111,"ownership","Owned"
"248",936015,777080,"ownership","Owned"
"249",586558,654923,"ownership","Leased"
"250",816080,811049,"ownership","Owned"
"251",544187,815038,"ownership","Owned"
"252",185545,129083,"ownership","Owned"
"253",914453,167155,"ownership","Owned"
"254",774852,364766,"ownership","Leased"
"255",158598,137767,"ownership","Leased"
"256",791524,137331,"ownership","Leased"
"257",346869,220940,"ownership","Owned"
"258",661549,599481,"ownership","Owned"
"259",554128,664369,"ownership","Leased"
"260",657746,814666,"ownership","Owned"
"261",653625,288450,"ownership","Owned"
"262",373402,148027,"ownership","Owned"
"263",183960,875439,"ownership","Owned"
"264",332354,856179,"ownership","Owned"
"265",911050,468715,"ownership","Owned"
"266",890396,633631,"ownership","Owned"
"267",612849,526626,"ownership","Owned"
"268",456150,797939,"ownership","Leased"
"269",924786,713014,"ownership","Leased"
"270",164032,663895,"ownership","Owned"
"271",427880,608842,"ownership","Leased"
"272",498734,425517,"ownership","Owned"
"273",542547,668893,"ownership","Owned"
"274",734366,994508,"ownership","Owned"
"275",247932,598453,"ownership","Owned"
"276",235807,662130,"ownership","Owned"
"277",944272,938882,"ownership","Owned"
"278",898963,589196,"ownership","Owned"
"279",516130,491775,"ownership","Owned"
"280",324083,758738,"ownership","Owned"
"281",390055,297969,"ownership","Leased"
"282",798303,428208,"ownership","Leased"
"283",870741,205054,"ownership","Owned"
"284",273739,903451,"ownership","Owned"
"285",285712,208690,"ownership","Owned"
"286",676857,127153,"ownership","Owned"
"287",481052,638147,"ownership","Owned"
"288",187175,279274,"ownership","Owned"
"289",431932,375747,"ownership","Owned"
"290",530170,407144,"ownership","Owned"
"291",629780,640773,"ownership","Owned"
"292",221532,482912,"ownership","Leased"
"293",236412,180627,"ownership","Leased"
"294",852450,105493,"ownership","Owned"
"295",882159,835958,"ownership","Owned"
"296",329062,354382,"ownership","Owned"
"297",617909,804177,"ownership","Owned"
"298",276763,567681,"ownership","Leased"
"299",612045,609686,"ownership","Owned"
"300",122992,781120,"ownership","Owned"
"301",168287,880676,"ownership","Owned"
"302",385928,737588,"ownership","Leased"
"303",828469,329536,"ownership","Owned"
"304",114621,552562,"ownership","Owned"
"305",351267,693064,"ownership","Owned"
"306",283979,143647,"ownership","Owned"
"307",578842,345733,"ownership","Owned"
"308",383191,453696,"ownership","Owned"
"309",447917,396948,"ownership","Owned"
"310",188097,968342,"ownership","Owned"
"311",164003,431548,"ownership","Owned"
"312",792928,652935,"ownership","Owned"
"313",263208,849954,"ownership","Owned"
"314",411180,724225,"ownership","Owned"
"315",478446,514726,"ownership","Owned"
"316",936328,756367,"ownership","Owned"
"317",789437,698349,"ownership","Owned"
"318",423781,885895,"ownership","Owned"
"319",955373,265076,"ownership","Owned"
"320",439330,884476,"ownership","Leased"
"321",925298,497237,"ownership","Owned"
"322",635517,711429,"ownership","Owned"
"323",228206,506631,"ownership","Owned"
"324",272224,837365,"ownership","Leased"
"325",614468,143876,"ownership","Owned"
"326",369022,834375,"ownership","Owned"
"327",111957,916232,"ownership","Owned"
"328",277150,856443,"ownership","Owned"
"329",308052,648320,"ownership","Owned"
"330",126938,204600,"ownership","Owned"
"331",749538,483614,"ownership","Owned"
"332",499730,687651,"ownership","Owned"
"333",926810,235202,"ownership","Owned"
"334",841724,842745,"ownership","Owned"
"335",119708,706765,"ownership","Owned"
"336",732803,108399,"ownership","Owned"
"337",267444,206835,"ownership","Leased"
"338",788670,280142,"ownership","Owned"
"339",281100,253164,"ownership","Owned"
"340",192538,453661,"ownership","Owned"
"341",688999,377940,"ownership","Owned"
"342",846362,730096,"ownership","Owned"
"343",521634,621879,"ownership","Owned"
"344",996215,579203,"ownership","Owned"
"345",169810,203664,"ownership","Owned"
"346",783040,939415,"ownership","Owned"
"347",639089,233828,"ownership","Owned"
"348",319449,913968,"ownership","Owned"
"349",469177,610951,"ownership","Owned"
"350",784312,168305,"ownership","Owned"
"351",494083,229095,"ownership","Owned"
"352",930922,316036,"ownership","Owned"
"353",545189,276728,"ownership","Owned"
"354",754331,611091,"ownership","Owned"
"355",897656,284680,"ownership","Owned"
"356",417198,987867,"ownership","Owned"
"357",409426,477402,"ownership","Owned"
"358",797237,540502,"ownership","Owned"
"359",748567,690579,"ownership","Owned"
"360",681285,958977,"ownership","Owned"
"361",840538,252420,"ownership","Owned"
"362",150799,165621,"ownership","Owned"
"363",282244,551286,"ownership","Owned"
"364",968012,487813,"ownership","Owned"
"365",197165,860272,"ownership","Owned"
"366",168363,602765,"ownership","Owned"
"367",919185,248458,"ownership","Owned"
"368",469327,315360,"ownership","FarmedContract"
"369",829824,127094,"ownership","FarmedContract"
"370",465211,290712,"ownership","Owned"
"371",772463,184931,"ownership","Owned"
"372",920009,848190,"ownership","Owned"
"373",611694,410757,"ownership","Owned"
"374",520870,176548,"ownership","Leased"
"375",628429,212079,"ownership","Leased"
"376",918959,237456,"ownership","Owned"
"377",377608,916874,"ownership","Owned"
"378",516912,723010,"ownership","Owned"
"379",973714,198288,"ownership","Owned"
"380",157776,717018,"ownership","Leased"
"381",415558,607662,"ownership","Leased"
"382",182433,227883,"ownership","Leased"
"383",261736,752329,"ownership","Owned"
"384",722145,638190,"ownership","Owned"
"385",247808,605238,"ownership","Leased"
"386",214089,652401,"ownership","Owned"
"387",864759,836642,"ownership","Owned"
"388",422184,404166,"ownership","Owned"
"389",619929,826939,"ownership","Owned"
"390",836400,527561,"ownership","Owned"
"391",509029,323860,"ownership","Owned"
"392",728844,802802,"ownership","Owned"
"393",562748,709557,"ownership","Owned"
"394",458916,332280,"ownership","Leased"
"395",875830,923060,"ownership","Owned"
"396",440338,320818,"ownership","Owned"
"397",653817,594849,"ownership","Owned"
"398",492822,827614,"ownership","Leased"
"399",736395,519405,"ownership","Owned"
"400",407822,591652,"ownership","Owned"
"401",611436,527700,"ownership","Owned"
"402",570366,821865,"ownership","Owned"
"403",825226,974524,"ownership","FarmedContract"
"404",271672,266922,"ownership","Leased"
"405",438992,789444,"ownership","Leased"
"406",399155,421749,"ownership","Owned"
"407",506910,655080,"ownership","Owned"
"408",639882,178550,"ownership","Owned"
"409",181988,752240,"ownership","Owned"
"410",509858,344571,"ownership","Owned"
"411",102347,194919,"ownership","Owned"
"412",560776,572147,"ownership","Owned"
"413",547403,953781,"ownership","Owned"
"414",343704,852258,"ownership","Owned"
"415",385103,550747,"ownership","Owned"
"416",211239,761438,"ownership","Owned"
"417",776136,202439,"ownership","Owned"
"418",572572,562370,"ownership","Owned"
"419",615967,902078,"ownership","Owned"
"420",261491,310012,"ownership","Owned"
"421",930833,310331,"ownership","Owned"
"422",238943,233890,"ownership","Owned"
"423",278071,539570,"ownership","Owned"
"424",681511,211719,"ownership","Leased"
"425",420133,779830,"ownership","Owned"
"426",339735,844762,"ownership","Owned"
"427",557597,182406,"ownership","Owned"
"428",465491,533741,"ownership","Owned"
"429",327812,248438,"ownership","Owned"
"430",484653,261112,"ownership","Owned"
"431",806835,639107,"ownership","FarmedContract"
"432",137928,238303,"ownership","Owned"
"433",983069,898600,"ownership","Owned"
"434",357851,498482,"ownership","Owned"
"435",197737,478082,"ownership","Owned"
"436",664272,285950,"ownership","Owned"
"437",343600,500623,"ownership","Owned"
"438",244765,358787,"ownership","Owned"
"439",612794,498758,"ownership","Owned"
"440",692251,412705,"ownership","Owned"
"441",675370,607847,"ownership","Owned"
"442",792645,574538,"ownership","Owned"
"443",654327,988389,"ownership","Owned"
"444",785066,416239,"ownership","Owned"
"445",668195,510050,"ownership","Owned"
"446",579667,465495,"ownership","Owned"
"447",610142,795552,"ownership","Leased"
"448",934837,596586,"ownership","Owned"
"449",632295,808348,"ownership","Leased"
"450",843829,632153,"ownership","Owned"
"451",729890,656087,"ownership","Owned"
"452",211609,607077,"ownership","Owned"
"453",544824,885602,"ownership","Owned"
"454",682681,106123,"ownership","Owned"
"455",121700,247643,"ownership","Owned"
"456",991947,846573,"ownership","Owned"
"457",461857,770553,"ownership","Owned"
"458",924994,522837,"ownership","Owned"
"459",887241,367126,"ownership","Owned"
"460",268735,912534,"ownership","Owned"
"461",614716,952067,"ownership","Owned"
"462",968627,863979,"ownership","Owned"
"463",723850,181842,"ownership","Leased"
"464",686050,430420,"ownership","Owned"
"465",637516,792559,"ownership","Leased"
"466",145576,830186,"ownership","Owned"
"467",564506,301708,"ownership","Leased"
"468",797141,318838,"ownership","Owned"
"469",596003,433452,"ownership","Owned"
"470",220026,815135,"ownership","Leased"
"471",249876,582564,"ownership","Leased"
"472",557912,736044,"ownership","Owned"
"473",184577,879278,"ownership","Leased"
"474",859068,256453,"ownership","Leased"
"475",811487,734073,"ownership","Owned"
"476",153303,341670,"ownership","Owned"
"477",807908,763238,"ownership","Owned"
"478",897877,538293,"ownership","Owned"
"479",125210,451226,"ownership","Owned"
"480",612813,620489,"ownership","Owned"
"481",493321,425667,"ownership","Owned"
"482",533872,316591,"ownership","Owned"
"483",101199,965152,"ownership","Owned"
"484",505247,341100,"ownership","Leased"
"485",713249,959249,"ownership","Owned"
"486",275385,163279,"ownership","Owned"
"487",744803,560227,"ownership","Owned"
"488",211842,273460,"ownership","Owned"
"489",114922,151051,"ownership","Owned"
"490",237143,217901,"ownership","Owned"
"491",291953,929822,"ownership","Owned"
"492",564179,201785,"ownership","Owned"
"493",572421,265261,"ownership","Owned"
"494",935882,296298,"ownership","Owned"
"495",644380,961359,"ownership","Owned"
"496",403729,910163,"ownership","Leased"
"497",477567,173785,"ownership","Owned"
"498",333352,651408,"ownership","Owned"
"499",517538,832553,"ownership","Owned"
"500",156151,674373,"ownership","Owned"
"501",630961,512944,"ownership","Owned"
"502",955663,424298,"ownership","Owned"
"503",807344,323625,"ownership","Owned"
"504",814914,325041,"ownership","Owned"
"505",324238,589085,"ownership","Owned"
"506",930618,237514,"ownership","Owned"
"507",338958,254365,"ownership","Owned"
"508",797512,983374,"ownership","Owned"
"509",902684,484594,"ownership","Owned"
"510",101740,637353,"ownership","Owned"
"511",559607,672543,"ownership","Owned"
"512",579666,164206,"ownership","Owned"
"513",740557,734161,"ownership","Owned"
"514",505204,425134,"ownership","Owned"
"515",972036,568903,"ownership","Owned"
"516",744548,962777,"ownership","Owned"
"517",103219,554980,"ownership","Owned"
"518",760116,804260,"ownership","Owned"
"519",206289,989821,"ownership","Owned"
"520",523455,341520,"ownership","Owned"
"521",283029,838979,"ownership","Leased"
"522",263755,151338,"ownership","Owned"
"523",776429,385576,"ownership","Leased"
"524",173330,531700,"ownership","Owned"
"525",905396,317402,"ownership","Owned"
"526",189525,675173,"ownership","Owned"
"527",479865,435032,"ownership","Leased"
