"","ID","population_density","wc2.1_30s_elev"
"3492",3492,2175.31567382812,113
"3493",3493,853.726806640625,98
"3494",3494,1354.46252441406,61
"3495",3495,1286.7587890625,78
"3496",3496,1102.4111328125,81
"3497",3497,414.133514404297,139
"3498",3498,388.293487548828,129
"3499",3499,1045.82055664062,88
"3500",3500,405.684600830078,84
"3501",3501,405.684600830078,84
"3502",3502,502.37744140625,107
"3503",3503,2175.31567382812,116
"3504",3504,1102.4111328125,81
"3505",3505,1349.66491699219,90
"3506",3506,1176.57604980469,59
"3507",3507,1187.79223632812,67
"3508",3508,1587.29260253906,55
"3509",3509,1664.66052246094,92
"3510",3510,1620.89196777344,59
"3511",3511,1313.03002929688,90
"3512",3512,498.297424316406,81
"3513",3513,1240.47680664062,77
"3514",3514,1045.82055664062,88
"3515",3515,1102.4111328125,80
"3516",3516,414.133514404297,135
"3517",3517,1105.41479492188,54
"3518",3518,3017.96801757812,65
"3519",3519,974.344909667969,103
"3520",3520,1407.26818847656,50
"3521",3521,414.133514404297,139
"3522",3522,1551.89086914062,68
"3523",3523,1176.57604980469,55
"3524",3524,1305.96826171875,77
"3525",3525,1954.50805664062,62
"3526",3526,1176.57604980469,57
"3527",3527,1176.57604980469,57
"3528",3528,1398.51965332031,51
"3529",3529,1620.89196777344,59
"3530",3530,1671.7783203125,95
"3531",3531,2175.31567382812,144
"3532",3532,499.305267333984,85
"3533",3533,405.684600830078,87
"3534",3534,2320.05590820312,51
"3535",3535,1954.50805664062,66
"3536",3536,1187.79223632812,67
"3537",3537,1187.79223632812,67
"3538",3538,2326.05151367188,49
"3539",3539,499.305267333984,85
"3540",3540,1187.79223632812,66
"3541",3541,1295.21960449219,85
"3542",3542,1671.7783203125,95
"3543",3543,1354.46252441406,61
"3544",3544,1242.0634765625,81
"3545",3545,388.293487548828,129
"3546",3546,2326.05151367188,49
"3547",3547,2320.05590820312,51
"3548",3548,3017.96801757812,63
"3549",3549,405.684600830078,88
"3550",3550,1448.15307617188,78
"3551",3551,1448.15307617188,79
"3552",3552,1426.21984863281,81
"3553",3553,1286.7587890625,79
"3554",3554,1286.7587890625,79
"3555",3555,540.572326660156,85
"3556",3556,498.297424316406,81
"3557",3557,1385.22351074219,68
"3558",3558,1398.51965332031,53
"3559",3559,1587.29260253906,54
"3560",3560,3017.96801757812,63
"3561",3561,2320.05590820312,54
"3562",3562,1038.65710449219,71
"3563",3563,1354.46252441406,59
"3564",3564,1038.65710449219,70
"3565",3565,1551.89086914062,76
"3566",3566,499.305267333984,85
"3567",3567,499.305267333984,85
"3568",3568,1430.453125,78
"3569",3569,1286.7587890625,79
"3570",3570,1664.66052246094,92
"3571",3571,1664.66052246094,95
"3572",3572,3017.96801757812,63
"3573",3573,1240.94860839844,72
"3574",3574,1286.7587890625,78
"3575",3575,1105.41479492188,54
"3576",3576,2022.37512207031,82
"3577",3577,1257.41528320312,78
"3578",3578,1204.52429199219,74
"3579",3579,1286.7587890625,78
"3580",3580,1240.47680664062,77
"3581",3581,1305.96826171875,77
"3582",3582,1398.51965332031,54
"3583",3583,965.134399414062,84
"3584",3584,1295.21960449219,87
"3585",3585,1240.47680664062,77
"3586",3586,2372.32006835938,52
"3587",3587,1353.65637207031,84
"3588",3588,1313.03002929688,89
"3589",3589,1305.96826171875,76
"3590",3590,1313.03002929688,87
"3591",3591,2372.32006835938,51
"3592",3592,1407.26818847656,51
"3593",3593,2372.32006835938,58
"3594",3594,1038.65710449219,69
"3595",3595,2175.31567382812,116
"3596",3596,405.684600830078,268
"3597",3597,1038.65710449219,70
"3598",3598,1187.79223632812,66
"3599",3599,499.305267333984,86
"3600",3600,2320.05590820312,54
"3601",3601,1719.57897949219,52
"3602",3602,3017.96801757812,64
"3603",3603,1591.02185058594,59
"3604",3604,2372.32006835938,52
"3605",3605,502.37744140625,107
"3606",3606,1551.89086914062,80
"3607",3607,1313.03002929688,90
"3608",3608,1398.51965332031,51
"3609",3609,1551.89086914062,80
"3610",3610,2310.57763671875,76
"3611",3611,1257.41528320312,78
"3612",3612,1240.94860839844,76
"3613",3613,1204.52429199219,74
"3614",3614,1257.41528320312,78
"3615",3615,1240.94860839844,75
"3616",3616,1062.44799804688,94
"3617",3617,1551.89086914062,81
"3618",3618,1398.51965332031,54
"3619",3619,2320.05590820312,54
"3620",3620,1305.96826171875,77
"3621",3621,3017.96801757812,64
"3622",3622,1718.47485351562,90
"3623",3623,1398.51965332031,51
"3624",3624,2320.05590820312,54
"3625",3625,2326.05151367188,49
"3626",3626,1620.89196777344,59
"3627",3627,1176.57604980469,60
"3628",3628,1105.41479492188,53
"3629",3629,1187.79223632812,67
"3630",3630,1551.89086914062,78
"3631",3631,1448.15307617188,78
"3632",3632,2310.57763671875,76
"3633",3633,2320.05590820312,51
"3634",3634,3017.96801757812,64
"3635",3635,1385.22351074219,67
"3636",3636,1954.50805664062,62
"3637",3637,1671.7783203125,95
"3638",3638,1407.26818847656,50
"3639",3639,1313.03002929688,87
"3640",3640,1551.89086914062,81
"3641",3641,405.684600830078,84
"3642",3642,1038.65710449219,70
"3643",3643,1257.41528320312,78
"3644",3644,1240.94860839844,75
"3645",3645,1240.94860839844,75
"3646",3646,1240.94860839844,75
"3647",3647,1240.94860839844,74
"3648",3648,2372.32006835938,56
"3649",3649,1313.03002929688,89
"3650",3650,2310.57763671875,76
"3651",3651,1240.94860839844,73
"3652",3652,1204.52429199219,74
"3653",3653,1240.94860839844,72
"3654",3654,405.684600830078,270
"3655",3655,575.113220214844,97
"3656",3656,2310.57763671875,82
"3657",3657,1240.94860839844,76
"3658",3658,499.305267333984,85
"3659",3659,1286.7587890625,78
"3660",3660,1342.2236328125,46
"3661",3661,1286.37585449219,47
"3662",3662,1286.37585449219,47
"3663",3663,1059.57336425781,53
"3664",3664,1419.42395019531,54
"3665",3665,1009.20104980469,41
"3666",3666,1286.37585449219,47
"3667",3667,1419.42395019531,54
"3668",3668,1317.00183105469,45
"3669",3669,1112.91149902344,54
"3670",3670,1049.05639648438,50
"3671",3671,1521.14025878906,52
"3672",3672,1521.14025878906,52
"3673",3673,1521.14025878906,53
"3674",3674,1112.91149902344,54
"3675",3675,1658.89562988281,47
"3676",3676,1049.05639648438,50
"3677",3677,1101.91882324219,45
"3678",3678,1101.91882324219,45
"3679",3679,1502.31811523438,48
"3680",3680,1059.57336425781,53
"3681",3681,1286.37585449219,47
"3682",3682,1475.19885253906,47
"3683",3683,1755.63854980469,46
"3684",3684,1755.63854980469,46
"3685",3685,1923.03454589844,42
"3686",3686,1406.4267578125,40
"3687",3687,1521.14025878906,52
"3688",3688,1049.05639648438,50
"3689",3689,1342.2236328125,47
"3690",3690,1475.19885253906,47
"3691",3691,1779.61169433594,41
"3692",3692,1342.2236328125,47
"3693",3693,1755.63854980469,46
"3694",3694,1317.00183105469,44
"3695",3695,1521.14025878906,49
"3696",3696,1101.91882324219,45
"3697",3697,1101.91882324219,45
"3698",3698,1916.25390625,45
"3699",3699,1350.07250976562,42
"3700",3700,1475.19885253906,47
